slug,product,brand,store,price_aud,matched_url,availability,match_type,checked_at
coleman-instant-up-8p-gold-tent,Coleman Instant Up 8P Gold Tent,Coleman,eBay AU,,,,,
coleman-instant-up-8p-gold-tent,Coleman Instant Up 8P Gold Tent,Coleman,Amazon AU,,,,,
coleman-instant-up-8p-gold-tent,Coleman Instant Up 8P Gold Tent,Coleman,BCF,,,,,2026-08-19T16:46:32Z
coleman-instant-up-8p-gold-tent,Coleman Instant Up 8P Gold Tent,Coleman,Anaconda,,,,not_exact_model,2026-08-20T22:20:00Z
coleman-instant-up-8p-gold-tent,Coleman Instant Up 8P Gold Tent,Coleman,Snowys,,https://www.snowys.com.au/instant-up-gold-8,out_of_stock,exact_pdp_out_of_stock,2026-08-20T22:20:00Z
coleman-instant-up-8p-gold-tent,Coleman Instant Up 8P Gold Tent,Coleman,Tentworld,,,,,2026-08-19T19:19:25Z
coleman-instant-up-8p-gold-tent,Coleman Instant Up 8P Gold Tent,Coleman,Wild Earth,,,,,2026-08-19T21:01:17Z
oztrail-bungalow-9-family-dome-tent,OZtrail Bungalow 9 Family Dome Tent,OZtrail,eBay AU,,,,,
oztrail-bungalow-9-family-dome-tent,OZtrail Bungalow 9 Family Dome Tent,OZtrail,Amazon AU,,,,,
oztrail-bungalow-9-family-dome-tent,OZtrail Bungalow 9 Family Dome Tent,OZtrail,BCF,,,,,2026-08-19T16:46:32Z
oztrail-bungalow-9-family-dome-tent,OZtrail Bungalow 9 Family Dome Tent,OZtrail,Anaconda,,,,,2026-08-11T22:05:13Z
oztrail-bungalow-9-family-dome-tent,OZtrail Bungalow 9 Family Dome Tent,OZtrail,Snowys,,,,,2026-08-19T15:49:09Z
oztrail-bungalow-9-family-dome-tent,OZtrail Bungalow 9 Family Dome Tent,OZtrail,Tentworld,,,,,2026-08-19T19:19:25Z
oztrail-bungalow-9-family-dome-tent,OZtrail Bungalow 9 Family Dome Tent,OZtrail,Wild Earth,,,,,2026-08-19T21:01:17Z
oztrail-hightower-9-loft-tent,OZtrail Hightower 9 Loft Tent,OZtrail,eBay AU,,,,,
oztrail-hightower-9-loft-tent,OZtrail Hightower 9 Loft Tent,OZtrail,Amazon AU,,,,,
oztrail-hightower-9-loft-tent,OZtrail Hightower 9 Loft Tent,OZtrail,BCF,,,,,2026-08-19T16:46:32Z
oztrail-hightower-9-loft-tent,OZtrail Hightower 9 Loft Tent,OZtrail,Anaconda,,,,,2026-08-11T22:05:13Z
oztrail-hightower-9-loft-tent,OZtrail Hightower 9 Loft Tent,OZtrail,Snowys,,,,,2026-08-19T15:49:09Z
oztrail-hightower-9-loft-tent,OZtrail Hightower 9 Loft Tent,OZtrail,Tentworld,,,,,2026-08-19T19:19:25Z
oztrail-hightower-9-loft-tent,OZtrail Hightower 9 Loft Tent,OZtrail,Wild Earth,,,,,2026-08-19T21:01:17Z
blackwolf-turbo-300-tent,Blackwolf Turbo 300 Tent,Blackwolf,eBay AU,,,,,
blackwolf-turbo-300-tent,Blackwolf Turbo 300 Tent,Blackwolf,Amazon AU,,,,,
blackwolf-turbo-300-tent,Blackwolf Turbo 300 Tent,Blackwolf,BCF,,,,,2026-08-19T16:46:32Z
blackwolf-turbo-300-tent,Blackwolf Turbo 300 Tent,Blackwolf,Anaconda,,,,,2026-08-11T22:05:13Z
blackwolf-turbo-300-tent,Blackwolf Turbo 300 Tent,Blackwolf,Snowys,1349.99,https://www.snowys.com.au/turbo-tent-300,,,2026-08-19T15:47:10Z
blackwolf-turbo-300-tent,Blackwolf Turbo 300 Tent,Blackwolf,Tentworld,,,,,2026-08-19T19:19:25Z
blackwolf-turbo-300-tent,Blackwolf Turbo 300 Tent,Blackwolf,Wild Earth,,,,,2026-08-19T21:01:17Z
blackwolf-turbo-lite-200-tent,Blackwolf Turbo Lite 200 Tent,Blackwolf,eBay AU,,,,,
blackwolf-turbo-lite-200-tent,Blackwolf Turbo Lite 200 Tent,Blackwolf,Amazon AU,,,,,
blackwolf-turbo-lite-200-tent,Blackwolf Turbo Lite 200 Tent,Blackwolf,BCF,,,,,2026-08-19T16:46:32Z
blackwolf-turbo-lite-200-tent,Blackwolf Turbo Lite 200 Tent,Blackwolf,Anaconda,,,,,2026-08-11T22:05:13Z
blackwolf-turbo-lite-200-tent,Blackwolf Turbo Lite 200 Tent,Blackwolf,Snowys,,,,,2026-08-19T15:49:09Z
blackwolf-turbo-lite-200-tent,Blackwolf Turbo Lite 200 Tent,Blackwolf,Tentworld,,,,,2026-08-19T19:19:25Z
blackwolf-turbo-lite-200-tent,Blackwolf Turbo Lite 200 Tent,Blackwolf,Wild Earth,,,,,2026-08-19T21:01:17Z
hilleberg-nallo-2-gt-tent,Hilleberg Nallo 2 GT Tent,Hilleberg,eBay AU,,,,,
hilleberg-nallo-2-gt-tent,Hilleberg Nallo 2 GT Tent,Hilleberg,Amazon AU,,,,,
hilleberg-nallo-2-gt-tent,Hilleberg Nallo 2 GT Tent,Hilleberg,BCF,,,,,2026-08-19T16:46:32Z
hilleberg-nallo-2-gt-tent,Hilleberg Nallo 2 GT Tent,Hilleberg,Anaconda,,,,,2026-08-11T22:05:13Z
hilleberg-nallo-2-gt-tent,Hilleberg Nallo 2 GT Tent,Hilleberg,Snowys,,,,,2026-08-19T15:49:09Z
hilleberg-nallo-2-gt-tent,Hilleberg Nallo 2 GT Tent,Hilleberg,Tentworld,,,,,2026-08-19T19:19:25Z
hilleberg-nallo-2-gt-tent,Hilleberg Nallo 2 GT Tent,Hilleberg,Wild Earth,1899.95,https://www.wildearth.com.au/buy/hilleberg-nallo-2-gt-2-person-4-season-mountaineer/13511,,,2026-08-11T22:05:13Z
msr-hubba-hubba-2-tent,MSR Hubba Hubba 2 Tent,MSR,eBay AU,,,,,
msr-hubba-hubba-2-tent,MSR Hubba Hubba 2 Tent,MSR,Amazon AU,,,,,
msr-hubba-hubba-2-tent,MSR Hubba Hubba 2 Tent,MSR,BCF,,,,,2026-08-19T16:46:32Z
msr-hubba-hubba-2-tent,MSR Hubba Hubba 2 Tent,MSR,Anaconda,,,,,2026-08-11T22:05:13Z
msr-hubba-hubba-2-tent,MSR Hubba Hubba 2 Tent,MSR,Snowys,,,,,2026-08-19T15:49:09Z
msr-hubba-hubba-2-tent,MSR Hubba Hubba 2 Tent,MSR,Tentworld,,,,,2026-08-19T19:19:25Z
msr-hubba-hubba-2-tent,MSR Hubba Hubba 2 Tent,MSR,Wild Earth,,,,,2026-08-19T21:01:17Z
sea-to-summit-telos-tr2-tent,Sea to Summit Telos TR2 Tent,Sea to Summit,eBay AU,,,,,
sea-to-summit-telos-tr2-tent,Sea to Summit Telos TR2 Tent,Sea to Summit,Amazon AU,,,,,
sea-to-summit-telos-tr2-tent,Sea to Summit Telos TR2 Tent,Sea to Summit,BCF,,,,,2026-08-19T16:46:32Z
sea-to-summit-telos-tr2-tent,Sea to Summit Telos TR2 Tent,Sea to Summit,Anaconda,,,,,2026-08-11T22:05:13Z
sea-to-summit-telos-tr2-tent,Sea to Summit Telos TR2 Tent,Sea to Summit,Snowys,29.0,https://www.snowys.com.au/telos-tr2-tent-gear-loft,,,2026-08-19T15:49:09Z
sea-to-summit-telos-tr2-tent,Sea to Summit Telos TR2 Tent,Sea to Summit,Tentworld,,,,,2026-08-19T19:19:25Z
sea-to-summit-telos-tr2-tent,Sea to Summit Telos TR2 Tent,Sea to Summit,Wild Earth,,,,,2026-08-19T21:01:17Z
vango-blade-200-tent,Vango Blade 200 Tent,Vango,eBay AU,,,,,
vango-blade-200-tent,Vango Blade 200 Tent,Vango,Amazon AU,,,,,
vango-blade-200-tent,Vango Blade 200 Tent,Vango,BCF,,,,,2026-08-19T16:46:32Z
vango-blade-200-tent,Vango Blade 200 Tent,Vango,Anaconda,,,,,2026-08-11T22:05:13Z
vango-blade-200-tent,Vango Blade 200 Tent,Vango,Snowys,,,,,2026-08-19T15:49:09Z
vango-blade-200-tent,Vango Blade 200 Tent,Vango,Tentworld,,,,,2026-08-19T19:19:25Z
vango-blade-200-tent,Vango Blade 200 Tent,Vango,Wild Earth,,,,,2026-08-19T21:01:17Z
darche-kozi-9-family-dome-tent,Darche Kozi 9 Family Dome Tent,Darche,eBay AU,,,,,
darche-kozi-9-family-dome-tent,Darche Kozi 9 Family Dome Tent,Darche,Amazon AU,,,,,
darche-kozi-9-family-dome-tent,Darche Kozi 9 Family Dome Tent,Darche,BCF,,,,,2026-08-19T16:46:32Z
darche-kozi-9-family-dome-tent,Darche Kozi 9 Family Dome Tent,Darche,Anaconda,,,,,2026-08-11T22:05:13Z
darche-kozi-9-family-dome-tent,Darche Kozi 9 Family Dome Tent,Darche,Snowys,,,,,2026-08-19T15:49:09Z
darche-kozi-9-family-dome-tent,Darche Kozi 9 Family Dome Tent,Darche,Tentworld,,,,,2026-08-19T19:19:25Z
darche-kozi-9-family-dome-tent,Darche Kozi 9 Family Dome Tent,Darche,Wild Earth,,,,,2026-08-19T21:01:17Z
anaconda-getaway-4p-tent,Anaconda Getaway 4P Tent,Anaconda,eBay AU,,,,,
anaconda-getaway-4p-tent,Anaconda Getaway 4P Tent,Anaconda,Amazon AU,,,,,
anaconda-getaway-4p-tent,Anaconda Getaway 4P Tent,Anaconda,BCF,,,,,2026-08-19T16:46:32Z
anaconda-getaway-4p-tent,Anaconda Getaway 4P Tent,Anaconda,Anaconda,,,,,2026-08-11T22:05:13Z
anaconda-getaway-4p-tent,Anaconda Getaway 4P Tent,Anaconda,Snowys,,,,,2026-08-19T15:49:09Z
anaconda-getaway-4p-tent,Anaconda Getaway 4P Tent,Anaconda,Tentworld,,,,,2026-08-19T19:19:25Z
anaconda-getaway-4p-tent,Anaconda Getaway 4P Tent,Anaconda,Wild Earth,,,,,2026-08-19T21:01:17Z
primus-aisen-3-tent,Primus Aisen 3 Tent,Primus,eBay AU,,,,,
primus-aisen-3-tent,Primus Aisen 3 Tent,Primus,Amazon AU,,,,,
primus-aisen-3-tent,Primus Aisen 3 Tent,Primus,BCF,,,,,2026-08-19T16:46:32Z
primus-aisen-3-tent,Primus Aisen 3 Tent,Primus,Anaconda,,,,,2026-08-11T22:05:13Z
primus-aisen-3-tent,Primus Aisen 3 Tent,Primus,Snowys,,,,,2026-08-19T15:49:09Z
primus-aisen-3-tent,Primus Aisen 3 Tent,Primus,Tentworld,,,,,2026-08-19T19:19:25Z
primus-aisen-3-tent,Primus Aisen 3 Tent,Primus,Wild Earth,,,,,2026-08-19T21:01:17Z
